InvoiceNo,StockCode,Description,Category,Subcategory,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV-100000,ELEC-001,"Laptop Pro 15""",Electronics,Computers,17,2023-12-07 00:00:00,853.26,CUST-0082,Netherlands
INV-100001,HOME-002,Desk Lamp,Home & Garden,Lighting,43,2025-05-31 00:00:00,37.34,CUST-0060,UK
INV-100002,SPORT-001,Yoga Mat,Sports,Fitness,29,2025-01-21 00:00:00,24.97,CUST-0077,Portugal
INV-100003,CLOTH-003,Winter Jacket,Clothing,Outerwear,18,2024-11-27 00:00:00,142.7,CUST-0013,Germany
INV-100004,HOME-001,Coffee Maker,Home & Garden,Kitchen,31,2025-03-01 00:00:00,62.31,CUST-0040,Belgium
INV-100005,CLOTH-002,Jeans Classic,Clothing,Bottoms,11,2024-01-31 00:00:00,47.09,CUST-0083,Switzerland
INV-100006,HOME-001,Coffee Maker,Home & Garden,Kitchen,3,2024-03-08 00:00:00,63.06,CUST-0016,Austria
INV-100007,ELEC-004,Bluetooth Speaker,Electronics,Audio,39,2025-03-25 00:00:00,82.22,CUST-0016,Germany
INV-100008,CLOTH-001,Cotton T-Shirt,Clothing,Tops,10,2025-07-28 00:00:00,21.88,CUST-0095,Belgium
INV-100009,SPORT-001,Yoga Mat,Sports,Fitness,20,2024-10-02 00:00:00,27.04,CUST-0099,Italy
INV-100010,HOME-002,Desk Lamp,Home & Garden,Lighting,17,2025-02-03 00:00:00,33.29,CUST-0006,UK
INV-100011,CLOTH-001,Cotton T-Shirt,Clothing,Tops,46,2023-09-22 00:00:00,21.76,CUST-0030,Austria
INV-100012,ELEC-003,USB-C Cable,Electronics,Accessories,2,2024-10-25 00:00:00,13.37,CUST-0081,Netherlands
INV-100013,CLOTH-002,Jeans Classic,Clothing,Bottoms,27,2024-04-05 00:00:00,53.27,CUST-0053,Netherlands
INV-100014,ELEC-002,Wireless Mouse,Electronics,Accessories,20,2025-07-26 00:00:00,28.16,CUST-0029,France
INV-100015,ELEC-004,Bluetooth Speaker,Electronics,Audio,34,2025-03-14 00:00:00,73.42,CUST-0027,UK
INV-100016,ELEC-003,USB-C Cable,Electronics,Accessories,45,2025-01-20 00:00:00,12.45,CUST-0037,Italy
INV-100017,SPORT-002,Running Shoes,Sports,Footwear,11,2024-07-16 00:00:00,95.21,CUST-0097,UK
INV-100018,SPORT-001,Yoga Mat,Sports,Fitness,5,2023-10-22 00:00:00,23.11,CUST-0087,UK
INV-100019,SPORT-001,Yoga Mat,Sports,Fitness,45,2023-12-24 00:00:00,26.83,CUST-0097,Spain
INV-100020,BOOK-001,Python Programming,Books,Technology,25,2025-03-14 00:00:00,39.62,CUST-0054,UK
INV-100021,HOME-001,Coffee Maker,Home & Garden,Kitchen,17,2023-11-11 00:00:00,64.73,CUST-0030,Switzerland
INV-100022,ELEC-001,"Laptop Pro 15""",Electronics,Computers,31,2023-09-07 00:00:00,869.73,CUST-0071,Italy
INV-100023,ELEC-004,Bluetooth Speaker,Electronics,Audio,6,2024-04-05 00:00:00,87.27,CUST-0073,Belgium
INV-100024,ELEC-004,Bluetooth Speaker,Electronics,Audio,7,2024-11-07 00:00:00,75.64,CUST-0002,Spain
INV-100025,CLOTH-002,Jeans Classic,Clothing,Bottoms,16,2023-10-30 00:00:00,54.53,CUST-0068,Netherlands
INV-100026,HOME-002,Desk Lamp,Home & Garden,Lighting,15,2024-03-26 00:00:00,38.31,CUST-0020,Austria
INV-100027,HOME-001,Coffee Maker,Home & Garden,Kitchen,9,2023-10-26 00:00:00,55.43,CUST-0023,Portugal
INV-100028,HOME-001,Coffee Maker,Home & Garden,Kitchen,8,2023-10-10 00:00:00,59.74,CUST-0032,Switzerland
INV-100029,SPORT-002,Running Shoes,Sports,Footwear,1,2024-08-29 00:00:00,87.43,CUST-0035,Austria
INV-100030,ELEC-003,USB-C Cable,Electronics,Accessories,27,2025-03-28 00:00:00,12.69,CUST-0021,UK
INV-100031,ELEC-001,"Laptop Pro 15""",Electronics,Computers,35,2025-01-15 00:00:00,846.35,CUST-0068,Netherlands
INV-100032,CLOTH-001,Cotton T-Shirt,Clothing,Tops,32,2025-01-09 00:00:00,20.1,CUST-0036,UK
INV-100033,ELEC-004,Bluetooth Speaker,Electronics,Audio,48,2024-02-29 00:00:00,0.0,CUST-0043,Germany
INV-100034,CLOTH-002,Jeans Classic,Clothing,Bottoms,48,2023-12-23 00:00:00,45.8,CUST-0024,Switzerland
INV-100035,BOOK-001,Python Programming,Books,Technology,14,2023-08-19 00:00:00,43.3,CUST-0043,Switzerland
INV-100036,HOME-001,Coffee Maker,Home & Garden,Kitchen,31,2024-12-08 00:00:00,61.57,CUST-0100,Switzerland
INV-100037,SPORT-001,Yoga Mat,Sports,Fitness,14,2024-02-17 00:00:00,24.94,CUST-0001,UK
INV-100038,ELEC-002,Wireless Mouse,Electronics,Accessories,43,2024-01-31 00:00:00,28.85,CUST-0002,UK
INV-100039,BOOK-001,Python Programming,Books,Technology,-3,2023-10-15 00:00:00,43.89,CUST-0038,Austria
INV-100040,CLOTH-001,Cotton T-Shirt,Clothing,Tops,40,2024-01-09 00:00:00,18.69,CUST-0098,France
INV-100041,HOME-002,Desk Lamp,Home & Garden,Lighting,6,2024-03-24 00:00:00,33.14,CUST-0039,Italy
INV-100042,SPORT-002,Running Shoes,Sports,Footwear,22,2024-11-29 00:00:00,97.69,CUST-0029,Spain
INV-100043,CLOTH-003,Winter Jacket,Clothing,Outerwear,8,2023-08-22 00:00:00,125.05,CUST-0092,Spain
INV-100044,SPORT-001,Yoga Mat,Sports,Fitness,35,2024-02-09 00:00:00,22.94,CUST-0009,Switzerland
INV-100045,BOOK-001,Python Programming,Books,Technology,6,2025-08-09 00:00:00,40.77,CUST-0047,Belgium
INV-100046,SPORT-002,Running Shoes,Sports,Footwear,27,2025-06-14 00:00:00,84.52,CUST-0062,Portugal
INV-100047,CLOTH-003,Winter Jacket,Clothing,Outerwear,38,2024-04-19 00:00:00,123.3,CUST-0012,Netherlands
INV-100048,ELEC-002,Wireless Mouse,Electronics,Accessories,2,2024-01-20 00:00:00,31.04,CUST-0010,Italy
INV-100049,ELEC-002,Wireless Mouse,Electronics,Accessories,28,2025-07-31 00:00:00,30.92,CUST-0071,Switzerland
INV-100050,HOME-001,Coffee Maker,Home & Garden,Kitchen,27,2024-04-11 00:00:00,55.72,CUST-0075,Austria
INV-100051,SPORT-001,Yoga Mat,Sports,Fitness,49,2023-11-05 00:00:00,25.47,CUST-0064,UK
INV-100052,CLOTH-003,Winter Jacket,Clothing,Outerwear,13,2025-03-19 00:00:00,136.36,CUST-0046,Italy
INV-100053,ELEC-001,"Laptop Pro 15""",Electronics,Computers,28,2024-08-15 00:00:00,827.93,CUST-0040,Switzerland
INV-100054,SPORT-001,Yoga Mat,Sports,Fitness,2,2024-11-07 00:00:00,27.35,CUST-0007,Portugal
INV-100055,CLOTH-002,Jeans Classic,Clothing,Bottoms,30,2024-10-13 00:00:00,53.88,CUST-0087,Netherlands
INV-100056,ELEC-001,"Laptop Pro 15""",Electronics,Computers,16,2024-02-19 00:00:00,862.2,CUST-0007,Austria
INV-100057,HOME-001,Coffee Maker,Home & Garden,Kitchen,24,2024-01-12 00:00:00,65.41,CUST-0095,Switzerland
INV-100058,ELEC-001,"Laptop Pro 15""",Electronics,Computers,47,2025-07-22 00:00:00,926.16,CUST-0095,Portugal
INV-100059,SPORT-001,Yoga Mat,Sports,Fitness,16,2024-04-14 00:00:00,26.12,CUST-0073,UK
INV-100060,BOOK-001,Python Programming,Books,Technology,40,2024-02-11 00:00:00,42.21,CUST-0001,France
INV-100061,HOME-002,Desk Lamp,Home & Garden,Lighting,-9,2024-11-03 00:00:00,32.29,CUST-0020,France
INV-100062,SPORT-002,Running Shoes,Sports,Footwear,5,2023-09-26 00:00:00,96.19,CUST-0058,Netherlands
INV-100063,HOME-002,Desk Lamp,Home & Garden,Lighting,49,2025-02-22 00:00:00,31.68,CUST-0052,France
INV-100064,ELEC-003,USB-C Cable,Electronics,Accessories,25,2024-08-13 00:00:00,13.34,CUST-0059,Belgium
INV-100065,ELEC-003,USB-C Cable,Electronics,Accessories,5,2024-03-18 00:00:00,13.63,CUST-0074,Portugal
INV-100066,SPORT-001,Yoga Mat,Sports,Fitness,44,2025-07-06 00:00:00,26.73,CUST-0060,Spain
INV-100067,ELEC-004,Bluetooth Speaker,Electronics,Audio,49,2024-06-04 00:00:00,85.68,CUST-0021,Belgium
INV-100068,HOME-002,Desk Lamp,Home & Garden,Lighting,11,2025-02-20 00:00:00,33.04,CUST-0095,Italy
INV-100069,CLOTH-003,Winter Jacket,Clothing,Outerwear,49,2024-09-16 00:00:00,126.07,CUST-0100,Spain
INV-100070,ELEC-004,Bluetooth Speaker,Electronics,Audio,4,2025-08-02 00:00:00,80.46,CUST-0044,Spain
INV-100071,HOME-001,Coffee Maker,Home & Garden,Kitchen,23,2024-06-28 00:00:00,61.27,CUST-0004,Belgium
INV-100072,CLOTH-003,Winter Jacket,Clothing,Outerwear,2,2024-03-03 00:00:00,129.81,CUST-0027,Spain
INV-100073,SPORT-002,Running Shoes,Sports,Footwear,27,2025-06-19 00:00:00,84.39,CUST-0001,France
INV-100074,BOOK-001,Python Programming,Books,Technology,20,2023-12-21 00:00:00,36.55,CUST-0013,UK
