TransactionID,Items
1,"butter, chicken, sugar"
2,"banana, butter, milk, orange, pasta, tea, tomato"
3,"chicken, fish, flour, sugar, tea"
4,"bread, butter, onion, orange, pasta, rice, tomato, yogurt"
5,"bread, coffee, eggs, orange, rice, sugar, tea"
6,"beef, butter, flour, onion, sugar, yogurt"
7,"beef, chicken, coffee, eggs, fish, onion, pasta, sugar"
8,"apple, banana, chicken, orange"
9,"butter, coffee, orange, sugar"
10,"apple, bread, fish"
11,"banana, eggs, fish, pasta, rice, sugar, tomato"
12,"apple, bread, cheese, yogurt"
13,"apple, bacon, banana, eggs, milk, pasta, sugar"
14,"banana, beef, bread, butter, chicken, pasta, sugar, yogurt"
15,"butter, cheese, chicken, eggs, milk, rice, tomato"
16,"banana, coffee, fish, onion, pasta, sugar, tomato, yogurt"
17,"banana, beef, pasta, sugar, tea, tomato, yogurt"
18,"bacon, bread, coffee, eggs, milk, rice, yogurt"
19,"apple, banana, bread, cheese, orange, pasta, rice"
20,"beef, milk, rice"
21,"bread, butter, eggs, flour"
22,"cheese, orange, pasta, tea, tomato"
23,"apple, banana, beef, bread, coffee, eggs, milk, orange"
24,"butter, fish, orange, pasta, sugar, tea, yogurt"
25,"bread, butter, cheese, eggs, yogurt"
26,"apple, butter, chicken, tomato"
27,"bread, cheese, yogurt"
28,"banana, chicken, eggs, milk, pasta, rice, sugar, tomato"
29,"banana, bread, butter, chicken, rice, sugar, yogurt"
30,"bread, butter, cheese, chicken, coffee, flour"
31,"banana, bread, butter, milk, yogurt"
32,"butter, eggs, rice, sugar, yogurt"
33,"chicken, coffee, fish, flour, pasta, rice"
34,"bread, butter, fish, tomato"
35,"cheese, fish, rice, sugar, tea"
36,"beef, fish, flour"
37,"apple, beef, bread, eggs, milk, pasta, tea, tomato"
38,"apple, butter, cheese, coffee, fish, flour, orange, sugar"
39,"chicken, rice, sugar"
40,"bread, chicken, coffee, onion, orange, pasta, yogurt"
41,"beef, cheese, coffee, orange, rice"
42,"beef, bread, eggs, fish, tomato"
43,"butter, chicken, eggs, flour, onion, orange, rice"
44,"banana, beef, bread, chicken, fish, sugar, tea, yogurt"
45,"beef, cheese, fish, flour, pasta"
46,"apple, banana, onion, rice, tomato, yogurt"
47,"apple, cheese, eggs, orange, rice, yogurt"
48,"apple, banana, bread, cheese, pasta"
49,"beef, bread, chicken, flour, yogurt"
50,"apple, banana, coffee, fish, tea, yogurt"
